"local_authority_id","name","ons_code","year","link_length_km","link_length_miles","cars_and_taxis","all_motor_vehicles"
88,"Wakefield","E08000036",1993,1470.075,913.46,1056156703.60097,1328547060.16862
72,"Warwickshire","E10000031",1993,3952.607,2456.04,3447795550.23662,4262228145.7538
49,"East Dunbartonshire","S12000045",1993,500.946,311.27,250482489.138432,292790868.204685
202,"York","E06000014",1994,828.08,514.55,536744970.000199,645176726.666269
183,"North Somerset","E06000024",1994,1106.435,687.51,896344560.889406,1073143468.39458
120,"Luton","E06000032",1994,437.36,271.76,376788239.804541,446403155.571463
162,"Oldham","E08000004",1994,792.633,492.52,424048810.571264,508642192.719518
87,"Calderdale","E08000033",1994,1194.613,742.3,646487750.909687,812759810.829754
31,"Perth & Kinross","S12000048",1994,2979.66,1851.47,953741741.355484,1194754744.79042
14,"Powys","W06000023",1994,5117.325,3179.76,585506991.668655,764670252.599817
115,"Bath and North East Somerset","E06000022",1995,1029.869,639.93,529965724.543665,629407941.372385
98,"Rutland","E06000017",1996,533.463,331.48,251237308.493399,324980710.152708
86,"Bury","E08000002",1996,607.458,377.46,689051824.842917,857558726.41275
108,"Wandsworth","E09000032",1996,420.121,261.05,518491887.377714,625370935.611032
33,"Scottish Borders","S12000026",1996,3195.183,1985.39,512865480.593335,650641747.817744
131,"North East Lincolnshire","E06000012",1997,644.163,400.26,451047012.323033,552253599.603317
121,"Enfield","E09000010",1997,584.773,363.36,760675043.99308,960278432.081643
77,"Cumbria","E10000006",1997,7903.341,4910.91,2451512179.49674,3178861331.07651
123,"Essex","E10000012",1997,7858.711,4883.18,6238552850.10538,7694327031.3867
174,"City of London","E09000001",1998,58.486,36.34,103934369.531934,134716969.150163
176,"Bromley","E09000006",1998,889.386,552.64,692790141.821761,815319001.406784
65,"Hampshire","E10000014",1998,8675.45,5390.67,7053837104.4351,8460957821.94484
2,"Nottinghamshire","E10000024",1998,4698.398,2919.45,2924559826.86113,3720934962.94142
46,"Moray","S12000020",1998,1855.45,1152.92,307085816.332618,396366860.037382
56,"Stockport","E08000007",1999,974.6,605.59,919757705.002784,1094264563.07663
141,"Birmingham","E08000025",1999,2500.1,1553.49,3079897479.34562,3696593307.58371
207,"Cheshire","E10000004",1999,5104.93,3172.06,3980452676.99137,4938959471.68536
8,"Swansea","W06000011",1999,1156.4,718.55,790567070.185119,939022967.122007
7,"Bridgend","W06000013",1999,742.69,461.49,580195250.984252,706465456.11131
140,"Stoke-on-Trent","E06000021",2000,833.5,517.91,637492221.645018,768785310.32699
189,"Dudley","E08000027",2000,995.23,618.41,864382208.398781,1046230688.20024
110,"Kensington and Chelsea","E09000020",2000,206.8,128.5,284067772.576149,365364940.45733
38,"Dumfries & Galloway","S12000006",2000,4729.24,2938.61,804400234.604907,1120398594.23467
113,"Wokingham","E06000041",2001,711.1,441.86,867460233.967348,1032501348.50257
66,"Hillingdon","E09000017",2001,734.4,456.34,1171718201.33773,1390542980.51763
64,"Medway","E06000035",2002,817.8,508.16,659300533.231553,810715069.196673
197,"Kirklees","E08000034",2002,1906.2,1184.46,1258296530.83541,1596551329.18036
105,"Greenwich","E09000011",2002,496.7,308.64,568712506.650822,708716325.065095
100,"North Yorkshire","E10000023",2002,9123.35,5668.99,3578789222.37279,4640821643.25634
2,"Nottinghamshire","E10000024",2002,4734.7,2942.01,3122861954.99357,3977070199.66222
35,"Highland","S12000017",2002,8249.57,5126.05,1181618481.66085,1511817062.97721
55,"Shetland Islands","S12000027",2002,1011.9,628.77,86788315.3011413,117525637.154021
157,"Knowsley","E08000011",2003,563.7285,350.28,653741221.944718,811990658.54199
57,"Barnet","E09000003",2003,747.739,464.62,851846102.778272,1026891963.69738
167,"Newham","E09000025",2003,425.515,264.4,436868855.702064,548075458.540486
54,"Orkney Islands","S12000023",2003,1089.892,677.23,60222696.6391275,78484515.740575
45,"Aberdeenshire","S12000034",2003,6672.4845,4146.09,1293920997.31319,1658076787.18782
92,"Durham","E06000047",2004,3594.7,2233.64,1845016609.04631,2361591216.94377
3,"Glasgow City","S12000046",2004,1791.79,1113.37,1659277350.46825,2042623133.89444
164,"Darlington","E06000005",2005,537.7,334.11,404555901.621567,504320856.955964
143,"South Gloucestershire","E06000025",2005,1511.7,939.33,1832479683.34905,2300619326.14888
75,"Wigan","E08000010",2005,1125.2,699.17,975232763.29663,1226956716.22134
42,"Stirling","S12000030",2005,1164,723.28,589596420.256961,735186063.18429
16,"Pembrokeshire","W06000009",2005,2616.1,1625.57,493813835.585558,644088412.133783
17,"Neath Port Talbot","W06000012",2005,867.41,538.98,637080688.491289,791466187.237189
144,"Bristol, City of","E06000023",1993,1103.676,685.79,1028594048.87954,1223835698.89346
199,"Isle of Wight","E06000046",1993,847.378,526.54,288550203.685477,341734473.79802
56,"Stockport","E08000007",1993,958.451,595.55,833611352.824505,983413080.112145
82,"Portsmouth","E06000044",1994,438.075,272.21,605862520.380975,716659821.020242
56,"Stockport","E08000007",1994,960.905,597.08,845583841.614969,998980323.038455
135,"Surrey","E10000030",1994,5376.332,3340.7,6312821115.31158,7450070492.69765
81,"West Sussex","E10000032",1994,4480.456,2784.03,3402527754.16567,3998093751.86411
18,"The Vale of Glamorgan","W06000014",1994,890.069,553.06,483169409.088424,566366556.186869
130,"North Lincolnshire","E06000013",1995,1390.243,863.86,603317915.871312,826755010.115923
112,"Slough","E06000039",1995,307.236,190.91,407305718.354808,484310965.834526
124,"Redbridge","E09000026",1995,518.211,322,493559340.327487,591957478.326573
81,"West Sussex","E10000032",1995,4490.544,2790.29,3457957178.82566,4062826291.95498
164,"Darlington","E06000005",1996,527.596,327.83,369029021.762905,455845323.93323
137,"Southampton","E06000045",1996,563.157,349.93,557948857.422652,657327214.691203
147,"Ealing","E09000009",1996,574.832,357.18,680598427.682335,799173684.432912
104,"Lewisham","E09000023",1996,442.176,274.76,443108678.442894,539775117.687704
2,"Nottinghamshire","E10000024",1996,4678.173,2906.88,2876620792.07429,3611908537.26736
126,"Suffolk","E10000029",1996,6788.473,4218.16,2586980043.42142,3261498708.16929
47,"Dundee City","S12000042",1996,552.411,343.25,415081352.401972,488145207.612543
153,"Leicester","E06000016",1997,784.352,487.37,682241001.923765,809170910.63191
54,"Orkney Islands","S12000023",1997,1081.173,671.81,58620603.7988149,74542561.4411835
29,"City of Edinburgh","S12000036",1997,1449.504,900.68,1388157296.38909,1662651097.59007
127,"Southend-on-Sea","E06000033",1998,441.903,274.59,331123229.713473,386213234.087927
149,"Wolverhampton","E08000031",1998,742.453,461.34,605759470.939712,730885112.816154
134,"Croydon","E09000008",1998,781.165,485.39,708756384.589,840802382.212877
54,"Orkney Islands","S12000023",1998,1083.245,673.1,58179963.3888094,74970371.1574405
29,"City of Edinburgh","S12000036",1998,1453.304,903.04,1406586973.94715,1694351402.18623
89,"East Riding of Yorkshire","E06000011",1999,3404.2,2115.27,1463819206.45928,1869246194.72282
1,"Isles of Scilly","E06000053",1999,36.4,22.62,997428.766006522,1624923.57134335
195,"Bradford","E08000032",1999,1888.1,1173.21,1203081054.1438,1446259714.51722
97,"Cambridgeshire","E10000003",1999,4596.7,2856.26,3213131943.82307,4115665011.95518
16,"Pembrokeshire","W06000009",1999,2559.9,1590.65,458268319.26549,587397358.178239
95,"Rochdale","E08000005",2000,770.8,478.95,789489850.174336,1008366686.72332
